what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1341946201673
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1341946201673
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1341946201673
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1341946201673
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1341946201688
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1341946201688
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1341946201688
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1341946201688
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1341946201688
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1341946201688
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1341946201688
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1341946201688
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1341946201688
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1341946201688
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1341946201688
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1341946201688
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1341946201704
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1341946201704
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1341946201704
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1341946201704
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1341946201719
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1341946201719
started,bundle,com.adobe.flash.codemodel.core,4.5.0.308971,"com.adobe.flash.codemodel.core",1341946201751
started,bundle,com.adobe.flash.codemodel.osgi,4.5.0.308971,"com.adobe.flash.codemodel.osgi",1341946201766
started,bundle,com.adobe.flashbuilder.project.multiplatform.ui,4.5.0.308971,"com.adobe.flashbuilder.project.multiplatform.ui",1341946201782
started,bundle,com.adobe.flexbuilder.dcrad,4.5.0.308971,"com.adobe.flexbuilder.dcrad",1341946201813
started,bundle,com.adobe.flexbuilder.debug.ui,4.5.0.308971,"com.adobe.flexbuilder.debug.ui",1341946201829
started,bundle,com.adobe.flexbuilder.editorcore,4.5.0.308971,"com.adobe.flexbuilder.editorcore",1341946201860
started,bundle,com.adobe.flexbuilder.editors.derived,4.5.0.308971,"com.adobe.flexbuilder.editors.derived",1341946201860
started,bundle,com.adobe.flexbuilder.exportimport,4.5.0.308971,"com.adobe.flexbuilder.exportimport",1341946201875
started,bundle,com.adobe.flexbuilder.flashbridge,4.5.0.308971,"com.adobe.flexbuilder.flashbridge",1341946201907
started,bundle,com.adobe.flexbuilder.flex,4.5.0.308971,"com.adobe.flexbuilder.flex",1341946201922
started,bundle,com.adobe.flexbuilder.multisdk,4.5.0.308971,"com.adobe.flexbuilder.multisdk",1341946201938
started,bundle,com.adobe.flexbuilder.mxmlmodel,4.5.0.308971,"com.adobe.flexbuilder.mxmlmodel",1341946201953
started,bundle,com.adobe.flexbuilder.project,4.5.0.308971,"com.adobe.flexbuilder.project",1341946201953
started,bundle,com.adobe.flexbuilder.project.ui,4.5.0.308971,"com.adobe.flexbuilder.project.ui",1341946201985
started,bundle,com.adobe.flexbuilder.utils.osnative,4.5.0.308971,"com.adobe.flexbuilder.utils.osnative",1341946201985
started,bundle,com.adobe.flexide.amt,4.5.0.308971,"com.adobe.flexide.amt",1341946202016
started,bundle,com.adobe.flexide.editorcore,4.5.0.308971,"com.adobe.flexide.editorcore",1341946202047
started,bundle,com.adobe.flexide.launching,4.5.0.308971,"com.adobe.flexide.launching",1341946202063
started,bundle,com.adobe.flexide.launching.multiplatform,4.5.0.308971,"com.adobe.flexide.launching.multiplatform",1341946202063
started,bundle,com.adobe.flexide.multiplatform.android,4.5.0.308971,"com.adobe.flexide.multiplatform.android",1341946202078
started,bundle,com.adobe.flexide.multiplatform.ios,4.5.0.308971,"com.adobe.flexide.multiplatform.ios",1341946202078
started,bundle,com.adobe.flexide.nativelibs,4.5.0.308971,"com.adobe.flexide.nativelibs",1341946202078
started,bundle,com.adobe.flexide.project.multiplatform,4.5.0.308971,"com.adobe.flexide.project.multiplatform",1341946202078
